# Time [s],# Altitude [m],# Height [m AGL],# Velocity [m/s],# Acceleration [m/s^2],# Commanded Angle [deg],# Flight Phase [int enum],# Approximate Drag Force [N],# Expected Drag Force [N],# Target Velocity [m/s],# Velocity Error [m/s
20.1100,2352.50,972.50,266.77,-30.82,13.74,3,485.75,469.22,264.60,5.41
20.2150,2380.18,1000.18,263.61,-30.11,14.10,3,469.23,453.65,261.70,5.07
20.3200,2407.54,1027.54,260.52,-29.44,14.43,3,453.66,438.94,258.83,4.78
20.4290,2435.59,1055.59,257.38,-28.80,14.75,3,438.94,424.47,255.95,4.57
20.5340,2462.31,1082.31,254.42,-28.17,15.06,3,424.47,411.27,252.92,4.46
20.6390,2488.72,1108.72,251.53,-27.60,15.37,3,411.27,398.71,249.99,4.43
20.7440,2514.83,1134.83,248.69,-27.06,15.68,3,398.71,386.76,247.07,4.46
20.8490,2540.65,1160.65,245.90,-26.54,15.98,3,386.76,375.35,244.19,4.49
20.9540,2566.18,1186.18,243.16,-26.05,16.30,3,375.35,364.46,241.38,4.52
21.0590,2591.43,1211.43,240.48,-25.57,16.61,3,364.46,354.04,238.65,4.51
21.1670,2617.11,1237.11,237.77,-25.12,16.92,3,354.05,343.77,236.01,4.47
21.2720,2641.80,1261.80,235.18,-24.68,17.22,3,343.78,334.22,233.40,4.37
21.3770,2666.23,1286.23,232.63,-24.26,17.52,3,334.22,325.03,230.93,4.24
21.4820,2690.39,1310.39,230.12,-23.87,17.80,3,325.03,316.19,228.54,4.08
21.5870,2714.30,1334.30,227.66,-23.48,18.07,3,316.19,307.68,226.21,3.91
21.6920,2737.94,1357.94,225.23,-23.12,18.33,3,307.68,299.48,223.91,3.74
21.7970,2761.34,1381.34,222.84,-22.76,18.58,3,299.48,291.57,221.65,3.58
21.9060,2785.37,1405.37,220.40,-22.42,18.82,3,291.57,283.64,219.40,3.44
22.0110,2808.26,1428.26,218.08,-22.07,19.06,3,283.65,276.28,217.07,3.32
22.1160,2830.92,1450.92,215.79,-21.76,19.28,3,276.29,269.17,214.84,3.24
22.2210,2853.34,1473.34,213.54,-21.45,19.50,3,269.17,262.30,212.60,3.19
22.3260,2875.53,1495.53,211.32,-21.15,19.72,3,262.30,255.65,210.38,3.16
22.4310,2897.49,1517.49,209.13,-20.86,19.94,3,255.65,249.22,208.16,3.16
22.5360,2919.22,1539.22,206.97,-20.58,20.16,3,249.22,242.99,205.96,3.17
22.6450,2941.54,1561.54,204.75,-20.31,20.38,3,242.99,236.73,203.79,3.18
22.7500,2962.82,1582.82,202.65,-20.04,20.60,3,236.73,230.91,201.56,3.20
22.8550,2983.88,1603.88,200.57,-19.79,20.82,3,230.91,225.26,199.44,3.21
22.9600,3004.72,1624.72,198.52,-19.55,21.04,3,225.26,219.78,197.36,3.21
23.0650,3025.35,1645.35,196.49,-19.31,21.26,3,219.78,214.46,195.32,3.19
23.1700,3045.78,1665.78,194.49,-19.08,21.48,3,214.46,209.30,193.33,3.16
23.2750,3065.99,1685.99,192.51,-18.86,21.70,3,209.30,204.29,191.38,3.11
23.3840,3086.75,1706.75,190.48,-18.64,21.91,3,204.29,199.23,189.46,3.04
23.4890,3106.55,1726.55,188.54,-18.42,22.12,3,199.23,194.50,187.52,2.96
23.5940,3126.14,1746.14,186.63,-18.21,22.32,3,194.50,189.89,185.68,2.86
23.6990,3145.54,1765.54,184.74,-18.02,22.51,3,189.89,185.41,183.88,2.75
23.8040,3164.74,1784.74,182.87,-17.82,22.69,3,185.41,181.04,182.10,2.64
23.9090,3183.75,1803.75,181.02,-17.63,22.87,3,181.05,176.79,180.34,2.53
24.0150,3202.74,1822.74,179.17,-17.45,23.04,3,176.79,172.61,178.60,2.41
24.1230,3222.07,1842.07,177.28,-17.27,23.20,3,172.61,168.42,176.86,2.31
24.2290,3240.49,1860.49,175.49,-17.09,23.35,3,168.42,164.49,175.07,2.21
24.3340,3258.73,1878.73,173.71,-16.92,23.50,3,164.49,160.66,173.36,2.13
24.4380,3276.79,1896.79,171.96,-16.75,23.65,3,160.66,156.92,171.65,2.06
24.5440,3294.66,1914.66,170.21,-16.59,23.79,3,156.92,153.28,169.94,2.01
24.6480,3312.35,1932.35,168.49,-16.43,23.92,3,153.28,149.72,168.24,1.98
24.7540,3329.86,1949.86,166.78,-16.28,24.06,3,149.72,146.26,166.53,1.95
24.8680,3347.85,1967.85,165.02,-16.13,24.19,3,146.26,142.75,164.83,1.95
24.9780,3365.81,1985.81,163.27,-15.97,24.33,3,142.75,139.30,163.07,1.95
25.0880,3383.58,2003.58,161.52,-15.82,24.47,3,139.30,135.93,161.30,1.96
